date,dma,hour,sessions,direct_sessions,organic_sessions,paid_sessions,social_sessions,conversions,revenue
2023-01-01,Los_Angeles,13,48,8,12,7,21,0,0.0
2023-01-01,Los_Angeles,14,30,4,5,1,20,3,376.11
2023-01-01,Los_Angeles,15,20,2,4,0,14,0,0.0
2023-01-01,Los_Angeles,16,33,3,7,2,21,1,121.12
2023-01-01,Los_Angeles,17,50,13,12,3,20,2,268.03999999999996
2023-01-01,Los_Angeles,18,82,28,17,6,29,1,92.44
2023-01-01,Los_Angeles,19,130,53,26,13,34,4,532.69
2023-01-01,Los_Angeles,20,103,36,22,12,33,1,133.03
2023-01-01,Los_Angeles,21,100,36,20,11,33,3,471.76
2023-01-01,Los_Angeles,22,54,18,10,2,24,1,127.24
2023-01-01,Los_Angeles,23,45,14,6,1,24,1,159.72
2023-01-01,New_York,0,32,8,1,1,22,0,0.0
2023-01-01,New_York,1,34,9,3,1,21,1,119.28
2023-01-01,New_York,2,25,6,3,0,16,0,0.0
2023-01-01,New_York,3,31,5,3,1,22,0,0.0
2023-01-01,New_York,4,27,6,2,0,19,1,157.27
2023-01-01,New_York,5,28,5,3,0,20,0,0.0
2023-01-01,New_York,6,40,11,5,2,22,0,0.0
2023-01-01,New_York,7,54,17,7,4,26,1,92.03
2023-01-01,New_York,8,59,20,10,4,25,0,0.0
2023-01-01,New_York,9,89,21,26,13,29,4,598.37
2023-01-01,New_York,10,110,29,32,17,32,3,348.73
2023-01-01,New_York,11,75,17,21,9,28,1,170.69
2023-01-01,New_York,12,73,15,21,9,28,1,148.33
2023-01-01,New_York,13,52,8,15,5,24,2,202.38
2023-01-01,New_York,14,37,6,7,4,20,1,125.12
2023-01-01,New_York,15,34,3,8,1,22,1,104.84
2023-01-01,New_York,16,46,6,12,5,23,2,306.54
2023-01-01,New_York,17,71,20,18,6,25,0,0.0
2023-01-01,New_York,18,93,32,18,10,32,3,447.05
2023-01-01,New_York,19,125,45,25,17,38,2,321.05
2023-01-01,New_York,20,112,42,25,13,32,1,178.42
2023-01-01,New_York,21,125,44,26,15,40,3,456.30999999999995
2023-01-01,New_York,22,120,52,24,7,30,1,157.71
2023-01-01,New_York,23,41,10,6,2,23,1,119.07
2023-01-01,Philadelphia,0,12,2,1,0,9,1,127.66
2023-01-01,Philadelphia,1,9,0,0,0,9,1,166.35
2023-01-01,Philadelphia,2,13,1,0,0,12,0,0.0
2023-01-01,Philadelphia,3,12,2,0,0,10,1,124.53
2023-01-01,Philadelphia,4,17,2,1,0,14,0,0.0
2023-01-01,Philadelphia,5,13,0,0,0,13,0,0.0
2023-01-01,Philadelphia,6,12,1,1,0,10,0,0.0
2023-01-01,Philadelphia,7,19,3,1,0,15,0,0.0
2023-01-01,Philadelphia,8,23,5,1,1,16,1,143.75
2023-01-01,Philadelphia,9,26,2,3,2,19,0,0.0
2023-01-01,Philadelphia,10,41,6,8,4,23,0,0.0
2023-01-01,Philadelphia,11,40,5,8,2,25,2,240.68
2023-01-01,Philadelphia,12,26,1,4,0,21,0,0.0
2023-01-01,Philadelphia,13,16,1,3,0,12,0,0.0
2023-01-01,Philadelphia,14,18,1,1,1,15,0,0.0
2023-01-01,Philadelphia,15,84,53,23,0,6,3,420.86
2023-01-01,Philadelphia,16,28,11,5,0,8,1,134.8
2023-01-01,Philadelphia,17,15,0,1,0,11,0,0.0
2023-01-01,Philadelphia,18,35,9,4,1,21,0,0.0
2023-01-01,Philadelphia,19,50,15,11,2,22,2,238.32999999999998
2023-01-01,Philadelphia,20,53,16,9,3,25,2,192.49
2023-01-01,Philadelphia,21,39,11,7,1,20,2,240.67
2023-01-01,Philadelphia,22,48,17,8,0,20,2,320.87
2023-01-01,Philadelphia,23,16,1,0,0,15,0,0.0
2023-01-01,Phoenix,0,11,1,0,0,10,0,0.0
2023-01-01,Phoenix,1,14,0,0,0,14,1,105.01
2023-01-01,Phoenix,2,12,1,1,0,10,0,0.0
2023-01-01,Phoenix,3,13,1,0,0,12,0,0.0
2023-01-01,Phoenix,4,9,0,0,0,9,0,0.0
2023-01-01,Phoenix,5,17,2,0,0,15,0,0.0
2023-01-01,Phoenix,6,12,0,0,0,12,0,0.0
2023-01-01,Phoenix,7,13,1,0,0,12,0,0.0
2023-01-01,Phoenix,8,21,4,1,0,16,0,0.0
2023-01-01,Phoenix,9,25,2,5,0,18,2,336.61
2023-01-01,Phoenix,10,24,1,3,0,20,0,0.0
2023-01-01,Phoenix,11,19,1,1,0,17,0,0.0
2023-01-01,Phoenix,12,18,2,2,0,14,0,0.0
2023-01-01,Phoenix,13,12,1,1,0,10,0,0.0
2023-01-01,Phoenix,14,5,0,0,0,5,0,0.0
2023-01-01,Phoenix,15,14,0,2,0,12,0,0.0
2023-01-01,Phoenix,16,23,6,2,0,12,0,0.0
2023-01-01,Phoenix,17,19,2,2,0,13,0,0.0
2023-01-01,Phoenix,18,22,4,0,0,17,0,0.0
2023-01-01,Phoenix,19,41,11,6,0,24,1,111.27
2023-01-01,Phoenix,20,36,10,5,0,21,0,0.0
2023-01-01,Phoenix,21,29,5,3,0,21,0,0.0
2023-01-01,Phoenix,22,27,6,1,0,18,1,155.49
2023-01-01,Phoenix,23,15,2,1,0,12,2,263.19
2023-01-02,Atlanta,0,6,0,0,0,6,0,0.0
2023-01-02,Atlanta,1,13,2,0,0,11,0,0.0
2023-01-02,Atlanta,2,9,0,0,0,9,0,0.0
2023-01-02,Atlanta,3,11,0,0,0,11,0,0.0
2023-01-02,Atlanta,4,12,2,0,0,10,1,115.76
2023-01-02,Atlanta,5,3,0,0,0,3,0,0.0
2023-01-02,Atlanta,6,8,0,0,0,8,0,0.0
2023-01-02,Atlanta,7,16,3,1,0,12,0,0.0
2023-01-02,Atlanta,8,17,3,1,0,13,0,0.0
2023-01-02,Atlanta,9,30,3,5,1,21,1,145.04
2023-01-02,Atlanta,10,29,2,5,0,22,0,0.0
2023-01-02,Atlanta,11,30,2,5,2,21,0,0.0
2023-01-02,Atlanta,12,14,0,1,0,13,2,263.8
2023-01-02,Atlanta,13,13,0,0,0,13,0,0.0
2023-01-02,Atlanta,14,12,0,0,0,12,0,0.0
2023-01-02,Atlanta,15,11,0,0,0,10,0,0.0
2023-01-02,Atlanta,16,11,0,0,0,10,1,142.08
2023-01-02,Atlanta,17,19,0,2,0,17,1,170.46
2023-01-02,Atlanta,18,29,6,2,0,21,1,111.79
2023-01-02,Atlanta,19,44,16,6,0,22,0,0.0
2023-01-02,Atlanta,20,51,16,7,1,23,2,294.5
2023-01-02,Atlanta,21,50,15,6,3,24,1,119.87
2023-01-02,Atlanta,22,19,5,3,0,11,0,0.0
2023-01-02,Atlanta,23,22,4,1,1,16,0,0.0
2023-01-02,Chicago,0,8,0,0,0,8,0,0.0
2023-01-02,Chicago,1,13,0,0,0,13,0,0.0
2023-01-02,Chicago,2,13,1,1,0,11,0,0.0
2023-01-02,Chicago,3,19,4,2,0,13,0,0.0
2023-01-02,Chicago,4,19,3,1,0,15,0,0.0
2023-01-02,Chicago,5,11,1,0,0,10,0,0.0
2023-01-02,Chicago,6,17,3,0,0,14,0,0.0
2023-01-02,Chicago,7,23,3,0,0,20,0,0.0
2023-01-02,Chicago,8,40,11,5,2,22,0,0.0
2023-01-02,Chicago,9,44,8,12,3,21,1,163.58
2023-01-02,Chicago,10,60,13,16,7,24,0,0.0
2023-01-02,Chicago,11,52,9,14,6,23,1,159.02
2023-01-02,Chicago,12,41,7,8,4,21,1,157.16
2023-01-02,Chicago,13,22,2,2,0,18,1,104.05
2023-01-02,Chicago,14,16,0,3,0,13,0,0.0
2023-01-02,Chicago,15,19,1,1,0,16,0,0.0
2023-01-02,Chicago,16,16,0,1,0,15,0,0.0
2023-01-02,Chicago,17,33,2,9,1,21,0,0.0
2023-01-02,Chicago,18,43,12,5,2,24,0,0.0
2023-01-02,Chicago,19,79,28,15,8,28,3,298.23
2023-01-02,Chicago,20,85,30,18,7,26,2,270.59
2023-01-02,Chicago,21,85,32,16,6,26,2,300.64
2023-01-02,Chicago,22,61,22,10,2,25,1,125.75
2023-01-02,Chicago,23,24,5,1,0,18,0,0.0
2023-01-02,Dallas,0,10,1,0,0,9,1,155.85
2023-01-02,Dallas,1,12,0,0,0,12,0,0.0
2023-01-02,Dallas,2,8,0,0,0,8,0,0.0
2023-01-02,Dallas,3,16,1,0,0,15,0,0.0
2023-01-02,Dallas,4,13,0,0,0,13,0,0.0
2023-01-02,Dallas,5,11,1,1,0,9,0,0.0
2023-01-02,Dallas,6,17,2,0,0,15,1,120.37
2023-01-02,Dallas,7,17,2,1,0,14,1,131.78
2023-01-02,Dallas,8,32,7,5,1,19,1,131.66
2023-01-02,Dallas,9,21,1,2,0,18,1,167.3
2023-01-02,Dallas,10,33,5,7,2,19,0,0.0
2023-01-02,Dallas,11,26,2,6,1,17,1,116.0
2023-01-02,Dallas,12,24,1,2,0,20,1,96.79
2023-01-02,Dallas,13,15,2,2,1,10,0,0.0
2023-01-02,Dallas,14,13,0,1,0,12,0,0.0
2023-01-02,Dallas,15,13,2,1,0,8,1,103.33
2023-01-02,Dallas,16,16,1,2,0,13,0,0.0
2023-01-02,Dallas,17,22,2,3,2,15,2,279.73
2023-01-02,Dallas,18,31,7,5,0,19,0,0.0
2023-01-02,Dallas,19,41,12,5,2,22,0,0.0
2023-01-02,Dallas,20,50,16,8,2,22,0,0.0
2023-01-02,Dallas,21,65,23,9,4,26,2,296.36
2023-01-02,Dallas,22,34,8,2,1,23,0,0.0
2023-01-02,Dallas,23,20,3,2,0,15,1,126.67
2023-01-02,Houston,0,9,0,0,0,9,1,113.98
2023-01-02,Houston,1,15,0,0,0,15,0,0.0
2023-01-02,Houston,2,20,3,1,0,16,2,309.92
2023-01-02,Houston,3,13,1,0,0,12,0,0.0
2023-01-02,Houston,4,19,2,0,0,17,0,0.0
2023-01-02,Houston,5,7,0,0,0,7,0,0.0
2023-01-02,Houston,6,19,3,1,0,15,0,0.0
2023-01-02,Houston,7,11,1,1,0,9,0,0.0
2023-01-02,Houston,8,34,8,5,0,20,0,0.0
2023-01-02,Houston,9,35,5,7,3,20,0,0.0
2023-01-02,Houston,10,47,9,12,7,19,2,261.43
2023-01-02,Houston,11,21,0,3,0,18,0,0.0
2023-01-02,Houston,12,17,1,2,0,13,1,175.89
2023-01-02,Houston,13,17,0,1,0,16,0,0.0
2023-01-02,Houston,14,9,0,1,0,8,0,0.0
2023-01-02,Houston,15,11,0,1,0,10,0,0.0
2023-01-02,Houston,16,12,0,1,0,11,0,0.0
2023-01-02,Houston,17,23,1,4,0,18,0,0.0
2023-01-02,Houston,18,41,10,6,1,24,2,346.96000000000004
2023-01-02,Houston,19,36,10,6,1,19,0,0.0
2023-01-02,Houston,20,57,19,9,2,25,0,0.0
2023-01-02,Houston,21,43,13,8,1,21,2,209.76
2023-01-02,Houston,22,44,12,7,1,24,0,0.0
2023-01-02,Houston,23,21,3,0,0,18,0,0.0
2023-01-02,Los_Angeles,0,20,2,0,0,18,1,172.42
2023-01-02,Los_Angeles,1,28,7,4,1,16,2,313.49
2023-01-02,Los_Angeles,2,22,5,1,1,15,0,0.0
2023-01-02,Los_Angeles,3,26,6,1,0,19,0,0.0
2023-01-02,Los_Angeles,4,30,8,2,1,19,1,111.9
2023-01-02,Los_Angeles,5,20,4,1,0,15,0,0.0
2023-01-02,Los_Angeles,6,38,12,7,0,19,0,0.0
2023-01-02,Los_Angeles,7,51,16,8,4,23,0,0.0
2023-01-02,Los_Angeles,8,61,19,10,5,27,1,109.0
2023-01-02,Los_Angeles,9,74,16,21,10,27,6,756.0799999999999
2023-01-02,Los_Angeles,10,102,25,29,17,31,1,175.5
2023-01-02,Los_Angeles,11,92,21,28,14,29,0,0.0
2023-01-02,Los_Angeles,12,72,16,21,9,26,2,282.58
2023-01-02,Los_Angeles,13,45,6,12,4,23,0,0.0
2023-01-02,Los_Angeles,14,31,1,6,1,23,0,0.0
2023-01-02,Los_Angeles,15,35,5,8,3,18,0,0.0
2023-01-02,Los_Angeles,16,39,4,9,3,21,1,163.5
2023-01-02,Los_Angeles,17,57,11,15,6,25,2,194.32999999999998
2023-01-02,Los_Angeles,18,77,25,14,7,31,2,313.49
2023-01-02,Los_Angeles,19,108,38,23,15,32,2,260.67
2023-01-02,Los_Angeles,20,104,38,21,11,34,1,151.71
2023-01-02,Los_Angeles,21,180,73,39,17,41,6,814.51
2023-01-02,Los_Angeles,22,101,36,20,11,30,0,0.0
2023-01-02,Los_Angeles,23,52,16,9,3,24,2,313.81
2023-01-02,New_York,0,33,8,4,0,21,2,283.22
2023-01-02,New_York,1,33,8,3,1,21,3,429.44
2023-01-02,New_York,2,33,7,4,0,22,1,95.17
2023-01-02,New_York,3,30,7,3,0,20,0,0.0
2023-01-02,New_York,4,34,7,3,0,24,0,0.0
2023-01-02,New_York,5,35,8,4,0,23,2,248.76
2023-01-02,New_York,6,55,16,10,4,25,2,256.40999999999997
2023-01-02,New_York,7,72,23,15,8,26,1,114.38
2023-01-02,New_York,8,85,28,14,9,33,2,261.74
2023-01-02,New_York,9,93,22,27,14,30,6,847.6700000000001
2023-01-02,New_York,10,137,37,42,24,34,4,591.14
2023-01-02,New_York,11,113,30,33,20,30,3,430.43
2023-01-02,New_York,12,88,20,25,12,31,2,297.38
2023-01-02,New_York,13,70,17,20,10,23,3,340.62
2023-01-02,New_York,14,47,10,11,6,20,3,339.46000000000004
2023-01-02,New_York,15,42,5,8,4,23,1,119.24
2023-01-02,New_York,16,53,8,15,5,25,0,0.0
2023-01-02,New_York,17,52,10,12,6,24,4,506.51
2023-01-02,New_York,18,122,45,27,16,34,3,354.4
2023-01-02,New_York,19,154,57,35,21,41,6,710.53
2023-01-02,New_York,20,190,77,42,22,42,9,1233.45
2023-01-02,New_York,21,194,81,43,22,39,3,379.78999999999996
2023-01-02,New_York,22,122,47,25,13,33,2,288.85
2023-01-02,New_York,23,56,18,9,4,25,0,0.0
2023-01-02,Philadelphia,0,13,1,0,0,12,2,285.0
2023-01-02,Philadelphia,1,15,3,1,0,11,0,0.0
2023-01-02,Philadelphia,2,13,0,0,0,13,0,0.0
2023-01-02,Philadelphia,3,16,1,1,0,14,0,0.0
2023-01-02,Philadelphia,4,14,2,1,0,11,0,0.0
2023-01-02,Philadelphia,5,7,0,0,0,7,0,0.0
2023-01-02,Philadelphia,6,16,2,0,0,14,0,0.0
2023-01-02,Philadelphia,7,25,4,2,1,18,1,157.47
2023-01-02,Philadelphia,8,35,9,4,1,20,2,289.25
2023-01-02,Philadelphia,9,41,7,10,3,21,2,240.86
2023-01-02,Philadelphia,10,30,3,6,1,20,3,374.12
2023-01-02,Philadelphia,11,41,6,9,3,23,1,105.88
2023-01-02,Philadelphia,12,33,5,7,1,20,0,0.0
2023-01-02,Philadelphia,13,26,2,4,1,19,0,0.0
2023-01-02,Philadelphia,14,21,2,2,2,15,1,143.73
2023-01-02,Philadelphia,15,16,1,0,0,13,0,0.0
2023-01-02,Philadelphia,16,24,1,4,0,19,0,0.0
2023-01-02,Philadelphia,17,23,2,3,0,18,0,0.0
2023-01-02,Philadelphia,18,38,10,4,1,23,0,0.0
2023-01-02,Philadelphia,19,58,19,10,3,26,1,95.39
2023-01-02,Philadelphia,20,76,28,14,7,24,2,271.91999999999996
2023-01-02,Philadelphia,21,64,26,9,3,20,2,212.42000000000002
2023-01-02,Philadelphia,22,34,9,4,1,18,1,105.22
2023-01-02,Philadelphia,23,27,7,2,0,18,1,124.21
2023-01-02,Phoenix,0,10,1,0,0,9,0,0.0
2023-01-02,Phoenix,1,21,3,0,0,18,0,0.0
2023-01-02,Phoenix,2,12,1,1,0,10,1,106.47
2023-01-02,Phoenix,3,12,2,0,0,10,0,0.0
2023-01-02,Phoenix,4,12,1,0,0,11,0,0.0
2023-01-02,Phoenix,5,11,0,0,0,11,1,153.7
2023-01-02,Phoenix,6,15,2,0,0,13,0,0.0
2023-01-02,Phoenix,7,21,5,1,0,15,0,0.0
2023-01-02,Phoenix,8,26,5,2,0,19,0,0.0
2023-01-02,Phoenix,9,27,4,5,1,17,0,0.0
2023-01-02,Phoenix,10,37,4,9,2,22,2,298.34000000000003
2023-01-02,Phoenix,11,25,1,4,0,20,0,0.0
2023-01-02,Phoenix,12,25,2,5,0,18,0,0.0
2023-01-02,Phoenix,13,15,0,1,0,14,0,0.0
2023-01-02,Phoenix,14,12,0,0,0,12,0,0.0
2023-01-02,Phoenix,15,5,0,0,0,4,0,0.0
2023-01-02,Phoenix,16,13,0,1,0,11,0,0.0
2023-01-02,Phoenix,17,19,0,4,0,15,1,120.84
2023-01-02,Phoenix,18,19,4,2,0,13,0,0.0
2023-01-02,Phoenix,19,42,12,4,3,23,0,0.0
2023-01-02,Phoenix,20,40,10,6,1,21,0,0.0
2023-01-02,Phoenix,21,38,10,4,0,21,3,401.22
2023-01-02,Phoenix,22,28,6,3,0,18,0,0.0
2023-01-02,Phoenix,23,20,3,1,0,16,0,0.0
2023-01-03,Atlanta,0,14,2,0,0,12,0,0.0
2023-01-03,Atlanta,1,13,0,0,0,13,0,0.0
2023-01-03,Atlanta,2,8,1,0,0,7,0,0.0
2023-01-03,Atlanta,3,12,0,0,0,12,0,0.0
2023-01-03,Atlanta,4,13,0,0,0,13,2,236.01999999999998
2023-01-03,Atlanta,5,9,2,0,0,7,0,0.0
2023-01-03,Atlanta,6,16,2,0,0,14,0,0.0
2023-01-03,Atlanta,7,15,2,0,0,13,0,0.0
2023-01-03,Atlanta,8,33,7,4,2,20,1,95.38
2023-01-03,Atlanta,9,28,3,6,2,17,0,0.0
2023-01-03,Atlanta,10,39,6,9,4,20,1,158.2
2023-01-03,Atlanta,11,46,7,12,2,25,2,276.06
2023-01-03,Atlanta,12,34,5,7,1,21,1,147.37
2023-01-03,Atlanta,13,15,0,1,0,14,1,158.93
2023-01-03,Atlanta,14,34,8,6,0,14,0,0.0
2023-01-03,Atlanta,15,12,0,1,0,11,0,0.0
2023-01-03,Atlanta,16,16,1,2,0,11,1,165.65
2023-01-03,Atlanta,17,16,1,2,0,13,0,0.0
2023-01-03,Atlanta,18,42,13,4,1,24,1,168.57
2023-01-03,Atlanta,19,60,20,10,4,26,1,110.51
2023-01-03,Atlanta,20,55,17,10,3,25,2,234.76999999999998
2023-01-03,Atlanta,21,64,21,9,5,25,0,0.0
2023-01-03,Atlanta,22,66,23,8,3,24,1,156.22
2023-01-03,Atlanta,23,28,7,1,1,19,1,128.66
2023-01-03,Chicago,0,19,3,1,0,15,0,0.0
2023-01-03,Chicago,1,21,3,1,0,17,0,0.0
2023-01-03,Chicago,2,22,3,1,0,18,0,0.0
2023-01-03,Chicago,3,20,3,1,0,16,0,0.0
2023-01-03,Chicago,4,28,5,3,1,19,0,0.0
2023-01-03,Chicago,5,18,2,1,0,15,1,134.22
2023-01-03,Chicago,6,27,4,1,0,22,0,0.0
2023-01-03,Chicago,7,39,11,6,1,21,1,99.95
2023-01-03,Chicago,8,54,17,9,4,24,1,96.48
2023-01-03,Chicago,9,57,12,15,6,24,1,96.35
2023-01-03,Chicago,10,85,21,25,10,29,3,420.78999999999996
2023-01-03,Chicago,11,61,12,17,8,24,3,387.39
2023-01-03,Chicago,12,55,10,14,6,25,3,329.88
2023-01-03,Chicago,13,44,8,11,4,21,1,168.44
2023-01-03,Chicago,14,32,5,5,1,19,1,150.33
2023-01-03,Chicago,15,25,2,5,0,18,1,99.94
2023-01-03,Chicago,16,36,3,7,2,22,0,0.0
2023-01-03,Chicago,17,38,4,10,3,21,1,131.46
2023-01-03,Chicago,18,62,21,11,5,25,1,147.82
2023-01-03,Chicago,19,83,28,16,10,29,2,215.93
2023-01-03,Chicago,20,95,32,17,11,35,2,204.14
2023-01-03,Chicago,21,82,28,16,9,28,3,361.39
2023-01-03,Chicago,22,86,31,14,7,28,1,126.5
2023-01-03,Chicago,23,36,8,5,1,22,2,268.07
2023-01-03,Dallas,0,12,1,0,0,11,0,0.0
2023-01-03,Dallas,1,19,3,1,0,15,0,0.0
2023-01-03,Dallas,2,15,3,1,0,11,0,0.0
2023-01-03,Dallas,3,12,0,0,0,12,0,0.0
2023-01-03,Dallas,4,14,1,0,0,13,2,320.55
2023-01-03,Dallas,5,21,3,1,0,17,0,0.0
2023-01-03,Dallas,6,12,1,0,0,11,0,0.0
2023-01-03,Dallas,7,21,2,1,0,18,0,0.0
2023-01-03,Dallas,8,32,7,5,0,20,0,0.0
2023-01-03,Dallas,9,26,1,5,1,19,0,0.0
2023-01-03,Dallas,10,31,2,6,0,23,0,0.0
2023-01-03,Dallas,11,37,6,8,1,22,0,0.0
2023-01-03,Dallas,12,49,11,9,3,22,2,283.4
2023-01-03,Dallas,13,33,2,7,2,22,1,173.45
2023-01-03,Dallas,14,220,139,59,0,14,7,921.28
2023-01-03,Dallas,15,14,0,2,0,12,0,0.0
2023-01-03,Dallas,16,28,5,5,0,15,1,127.58
2023-01-03,Dallas,17,25,1,2,0,21,0,0.0
2023-01-03,Dallas,18,44,13,7,2,22,1,139.3
