date,dma,sessions,direct_sessions,organic_sessions,paid_sessions,social_sessions,conversions,revenue
2023-01-25,Dallas,713,143,107,32,423,10,1476.58
2023-01-25,Houston,883,224,146,40,458,25,3416.88
2023-01-25,Los_Angeles,1995,611,452,232,681,48,6520.02
2023-01-25,New_York,2664,889,641,334,771,66,8698.960000000001
2023-01-25,Philadelphia,903,202,155,65,473,26,3356.05
2023-01-25,Phoenix,589,95,79,19,390,15,2026.46
2023-01-26,Atlanta,693,139,103,35,409,24,3231.93
2023-01-26,Chicago,1244,337,240,104,550,34,4655.01
2023-01-26,Dallas,742,149,113,32,441,21,2757.99
2023-01-26,Houston,780,171,126,39,444,16,2184.63
2023-01-26,Los_Angeles,2111,672,478,249,702,53,7340.25
2023-01-26,New_York,2674,861,640,365,799,71,10020.53
2023-01-26,Philadelphia,1036,273,198,68,487,34,4599.76
2023-01-26,Phoenix,689,152,105,26,397,24,3068.0099999999998
2023-01-27,Atlanta,723,142,120,35,417,24,3266.69
2023-01-27,Chicago,1255,334,242,113,556,27,3751.0
2023-01-27,Dallas,757,168,112,25,432,26,3530.58
2023-01-27,Houston,855,188,149,51,456,12,1688.67
2023-01-27,Los_Angeles,2115,645,488,257,709,52,7192.58
2023-01-27,New_York,2902,956,704,393,831,65,8819.45
2023-01-27,Philadelphia,996,250,166,66,495,24,3084.51
2023-01-27,Phoenix,691,138,104,23,414,19,2487.8
2023-01-28,Atlanta,582,104,76,17,377,14,1840.5700000000002
2023-01-28,Chicago,1055,291,188,65,498,24,3087.7599999999998
2023-01-28,Dallas,583,93,79,16,390,14,1907.19
2023-01-28,Houston,674,134,98,32,399,20,2533.13
2023-01-28,Los_Angeles,1649,484,353,168,634,35,4557.69
2023-01-28,New_York,2172,675,495,273,713,48,6423.71
2023-01-28,Philadelphia,837,191,132,49,455,34,5001.27
2023-01-28,Phoenix,604,135,75,15,366,10,1448.57
2023-01-29,Atlanta,580,94,68,12,403,11,1664.04
2023-01-29,Chicago,972,229,167,67,495,24,3215.31
2023-01-29,Dallas,560,92,68,16,375,17,2297.59
2023-01-29,Houston,615,112,74,19,399,8,1126.21
2023-01-29,Los_Angeles,1534,435,324,150,617,27,3540.84
2023-01-29,New_York,1989,605,444,235,690,44,6493.4400000000005
2023-01-29,Philadelphia,756,146,120,38,449,24,3126.96
2023-01-29,Phoenix,481,73,48,8,348,10,1328.91
2023-01-30,Atlanta,665,124,90,27,419,20,2676.88
2023-01-30,Chicago,1111,287,214,85,515,24,3158.75
2023-01-30,Dallas,741,158,115,32,427,21,2831.95
2023-01-30,Houston,771,165,121,35,440,24,3182.09
2023-01-30,Los_Angeles,1936,596,430,221,676,54,7456.11
2023-01-30,New_York,2659,870,643,349,778,67,9363.65
2023-01-30,Philadelphia,946,225,161,63,487,17,2339.79
2023-01-30,Phoenix,618,103,77,20,410,18,2373.04
2023-01-31,Atlanta,679,131,105,26,408,15,1940.26
2023-01-31,Chicago,1095,271,195,87,530,24,3163.05
2023-01-31,Dallas,753,153,119,37,432,21,2849.77
2023-01-31,Houston,732,157,106,38,418,13,1675.66
2023-01-31,Los_Angeles,1909,587,427,210,667,43,5701.16
2023-01-31,New_York,2492,798,592,329,755,52,7029.2
2023-01-31,Philadelphia,911,204,150,53,494,22,3145.17
2023-01-31,Phoenix,633,113,86,20,406,23,3154.92
2023-02-01,Atlanta,560,119,78,16,342,17,2254.16
2023-02-01,Chicago,995,242,189,60,502,17,2085.59
2023-02-01,Dallas,573,102,77,21,369,12,1718.12
2023-02-01,Houston,672,123,96,24,428,25,3631.07
2023-02-01,Los_Angeles,1690,484,369,184,649,40,5493.96
2023-02-01,New_York,2146,653,495,268,724,52,6983.37
2023-02-01,Philadelphia,832,192,130,44,459,24,3264.14
2023-02-01,Phoenix,558,87,68,15,386,11,1382.13
2023-02-02,Atlanta,634,115,84,18,408,17,2299.36
2023-02-02,Chicago,1102,271,204,85,527,24,3185.35
2023-02-02,Dallas,643,124,92,25,395,10,1248.03
2023-02-02,Houston,680,129,91,31,424,21,2614.87
2023-02-02,Los_Angeles,1742,516,388,180,637,42,5462.36
2023-02-02,New_York,2356,728,558,298,756,62,8364.85
2023-02-02,Philadelphia,873,197,148,54,463,21,2947.63
2023-02-02,Phoenix,558,98,75,11,368,16,2341.06
2023-02-03,Atlanta,616,112,86,24,389,17,2117.76
2023-02-03,Chicago,1048,251,189,83,525,24,3419.27
2023-02-03,Dallas,680,131,97,29,417,17,2284.92
2023-02-03,Houston,743,156,115,38,428,25,3419.7
2023-02-03,Los_Angeles,1884,561,425,219,669,52,7420.7699999999995
2023-02-03,New_York,2437,772,583,318,756,58,7587.48
2023-02-03,Philadelphia,901,208,146,56,486,24,3389.18
2023-02-03,Phoenix,585,102,74,13,389,11,1438.9
2023-02-04,Atlanta,509,74,52,13,362,13,1874.12
2023-02-04,Chicago,942,258,161,46,463,25,3337.61
2023-02-04,Dallas,541,98,71,10,354,17,2258.42
2023-02-04,Houston,560,94,62,12,389,11,1616.69
2023-02-04,Los_Angeles,1382,396,288,128,557,42,5648.57
2023-02-04,New_York,1883,569,421,213,668,42,5811.41
2023-02-04,Philadelphia,640,121,87,20,404,13,1814.28
2023-02-04,Phoenix,472,64,49,11,344,16,2161.76
2023-02-05,Atlanta,466,62,47,7,344,11,1458.48
2023-02-05,Chicago,756,153,119,38,440,23,3375.38
2023-02-05,Dallas,501,74,56,5,364,12,1530.48
2023-02-05,Houston,551,93,66,13,373,16,2242.68
2023-02-05,Los_Angeles,1367,376,274,123,584,42,5653.86
2023-02-05,New_York,1848,579,418,186,649,48,6340.88
2023-02-05,Philadelphia,676,136,97,24,411,15,2186.37
2023-02-05,Phoenix,437,53,35,6,341,7,880.81
2023-02-06,Atlanta,599,103,73,15,398,14,1911.45
2023-02-06,Chicago,1034,276,181,58,501,23,3049.67
2023-02-06,Dallas,661,132,100,27,395,13,1818.51
2023-02-06,Houston,663,133,98,20,400,14,1925.33
2023-02-06,Los_Angeles,1757,557,376,168,628,48,6482.09
2023-02-06,New_York,2392,783,559,285,740,56,7835.6900000000005
2023-02-06,Philadelphia,777,160,126,41,444,28,3800.56
2023-02-06,Phoenix,512,84,57,7,354,12,1573.21
2023-02-07,Atlanta,599,109,78,20,390,14,1933.4
2023-02-07,Chicago,1046,287,192,72,487,22,2847.38
2023-02-07,Dallas,617,113,93,23,380,13,1811.54
2023-02-07,Houston,702,139,99,30,427,17,2370.38
2023-02-07,Los_Angeles,1660,482,353,176,635,52,6862.84
2023-02-07,New_York,2213,702,507,263,726,73,9998.94
2023-02-07,Philadelphia,853,198,129,44,471,23,3156.2
2023-02-07,Phoenix,635,147,84,10,385,17,2413.39
2023-02-08,Atlanta,594,103,82,18,389,14,1851.51
2023-02-08,Chicago,948,232,165,52,490,21,2936.87
2023-02-08,Dallas,635,123,88,18,400,12,1453.8
2023-02-08,Houston,702,145,100,30,418,16,2155.38
2023-02-08,Los_Angeles,1676,486,361,183,643,43,5536.73
2023-02-08,New_York,2191,675,507,277,722,46,6217.76
2023-02-08,Philadelphia,793,176,128,43,439,18,2442.68
2023-02-08,Phoenix,521,80,57,17,361,13,1712.8700000000001
2023-02-09,Atlanta,590,103,76,24,380,9,1323.3600000000001
2023-02-09,Chicago,985,232,175,63,504,35,4708.01
2023-02-09,Dallas,680,145,97,25,399,16,2188.89
2023-02-09,Houston,700,135,104,32,421,16,2311.9
2023-02-09,Los_Angeles,1747,508,379,195,653,46,6081.66
2023-02-09,New_York,2290,702,544,292,741,58,7993.48
2023-02-09,Philadelphia,827,183,135,51,447,26,3619.29
2023-02-09,Phoenix,551,97,62,19,368,9,1133.14
2023-02-10,Atlanta,626,119,77,24,397,16,2040.97
2023-02-10,Chicago,1124,288,211,93,525,27,3739.46
2023-02-10,Dallas,696,141,106,25,418,20,2855.93
2023-02-10,Houston,721,149,111,36,421,13,1644.5
2023-02-10,Los_Angeles,1880,572,413,218,669,48,6215.32
2023-02-10,New_York,2504,799,598,320,771,68,8893.02
2023-02-10,Philadelphia,898,211,150,55,474,26,3464.38
2023-02-10,Phoenix,760,219,122,19,392,30,3885.91
2023-02-11,Atlanta,513,86,55,8,349,10,1403.84
2023-02-11,Chicago,820,181,126,39,462,17,2373.67
2023-02-11,Dallas,629,149,86,12,376,24,3402.67
2023-02-11,Houston,520,80,59,10,364,17,2277.9
2023-02-11,Los_Angeles,1407,391,292,142,574,34,4708.24
2023-02-11,New_York,1871,569,415,218,660,36,4842.62
2023-02-11,Philadelphia,762,185,117,27,416,23,2981.45
2023-02-11,Phoenix,436,55,37,6,329,8,1092.41
2023-02-12,Atlanta,426,68,26,3,312,9,1274.47
2023-02-12,Chicago,618,119,83,14,388,20,2941.48
2023-02-12,Dallas,398,51,26,6,304,14,1863.58
2023-02-12,Houston,477,77,36,9,338,15,1939.98
2023-02-12,Los_Angeles,1190,356,228,78,498,34,4868.97
2023-02-12,New_York,1483,479,303,114,565,44,6063.42
2023-02-12,Philadelphia,511,89,50,13,349,11,1532.95
2023-02-12,Phoenix,354,32,24,1,292,9,1177.81
2023-02-13,Atlanta,784,227,135,17,389,30,4312.89
2023-02-13,Chicago,985,236,169,71,501,24,3204.42
2023-02-13,Dallas,636,124,100,20,385,22,2861.62
2023-02-13,Houston,670,120,86,24,428,17,2419.62
2023-02-13,Los_Angeles,1823,574,401,183,643,52,7377.22
2023-02-13,New_York,2269,712,529,298,723,47,6264.54
2023-02-13,Philadelphia,819,176,130,46,458,21,2753.32
2023-02-13,Phoenix,686,181,103,18,366,16,2310.37
2023-02-14,Atlanta,599,116,83,17,374,16,2254.34
2023-02-14,Chicago,941,224,156,61,491,26,3491.38
2023-02-14,Dallas,636,116,91,21,396,16,2072.61
2023-02-14,Houston,626,116,91,27,386,17,2359.92
2023-02-14,Los_Angeles,1680,495,360,183,628,38,5106.51
2023-02-14,New_York,2175,672,503,274,712,55,7651.07
2023-02-14,Philadelphia,853,191,137,51,465,20,2832.48
2023-02-14,Phoenix,564,97,68,12,379,17,2407.69
2023-02-15,Atlanta,597,104,83,16,388,9,1216.67
2023-02-15,Chicago,941,224,165,58,486,19,2406.86
2023-02-15,Dallas,624,115,80,24,402,15,1944.84
2023-02-15,Houston,619,113,93,27,379,15,1872.26
2023-02-15,Los_Angeles,1703,492,369,187,644,49,6306.71
2023-02-15,New_York,2199,696,509,260,720,66,8713.98
2023-02-15,Philadelphia,800,177,134,42,440,13,1808.78
2023-02-15,Phoenix,575,99,72,15,386,19,2447.92
2023-02-16,Atlanta,589,98,74,23,389,13,1594.98
2023-02-16,Chicago,990,239,182,71,492,19,2536.44
2023-02-16,Dallas,666,133,88,31,409,14,1953.17
2023-02-16,Houston,738,152,118,44,419,17,2413.1800000000003
2023-02-16,Los_Angeles,1732,505,394,194,636,35,4848.33
2023-02-16,New_York,2282,712,532,292,741,52,6905.64
2023-02-16,Philadelphia,862,201,140,55,455,24,3582.5699999999997
2023-02-16,Phoenix,530,86,55,16,367,11,1417.13
2023-02-17,Atlanta,579,96,74,15,392,15,2070.06
2023-02-17,Chicago,1086,273,197,84,529,22,2862.9
2023-02-17,Dallas,668,138,97,29,399,13,1700.19
2023-02-17,Houston,715,138,102,29,442,14,1769.69
2023-02-17,Los_Angeles,1915,594,422,210,683,45,5972.27
2023-02-17,New_York,2485,768,601,323,788,76,10179.88
2023-02-17,Philadelphia,845,189,138,45,473,25,3427.2
2023-02-17,Phoenix,577,96,75,22,383,18,2626.19
2023-02-18,Atlanta,550,92,64,15,371,12,1718.12
2023-02-18,Chicago,822,180,129,43,458,25,3474.12
2023-02-18,Dallas,582,105,72,13,377,22,2870.8
2023-02-18,Houston,587,93,72,11,400,15,2052.86
2023-02-18,Los_Angeles,1579,490,338,138,583,43,5675.71
2023-02-18,New_York,1962,604,458,208,676,51,7491.92
2023-02-18,Philadelphia,707,141,98,32,421,22,3018.0
2023-02-18,Phoenix,512,87,52,9,358,8,1087.8
2023-02-19,Atlanta,466,65,46,5,345,16,2137.4
2023-02-19,Chicago,1048,337,198,43,459,19,2287.32
2023-02-19,Dallas,504,78,54,14,352,15,2244.03
2023-02-19,Houston,568,100,67,22,377,13,1732.49
2023-02-19,Los_Angeles,1528,479,322,137,583,35,4650.04
2023-02-19,New_York,1730,504,380,193,650,49,6785.73
2023-02-19,Philadelphia,597,112,74,17,389,18,2232.23
2023-02-19,Phoenix,481,71,49,5,356,17,2248.36
2023-02-20,Atlanta,461,63,41,4,347,12,1591.54
2023-02-20,Chicago,709,137,107,31,425,19,2473.31
2023-02-20,Dallas,448,51,51,5,340,9,1236.43
2023-02-20,Houston,543,91,63,12,365,14,1891.6
2023-02-20,Los_Angeles,1324,362,263,120,563,29,4187.31
2023-02-20,New_York,1717,508,370,187,634,42,5887.88
2023-02-20,Philadelphia,623,126,82,25,376,19,2856.16
2023-02-20,Phoenix,431,54,31,3,338,11,1569.81
2023-02-21,Atlanta,570,87,66,18,396,9,1199.95
2023-02-21,Chicago,1101,336,204,59,487,36,5034.17
2023-02-21,Dallas,751,205,128,28,383,26,3216.09
2023-02-21,Houston,643,118,83,24,407,13,1582.87
2023-02-21,Los_Angeles,1769,548,387,177,642,60,7959.32
2023-02-21,New_York,2220,682,512,276,737,61,8101.84
2023-02-21,Philadelphia,919,210,157,55,488,23,3038.38
2023-02-21,Phoenix,614,133,78,12,380,18,2533.44
2023-02-22,Atlanta,579,106,76,17,376,14,1854.3
2023-02-22,Chicago,968,230,161,63,509,25,3488.33
2023-02-22,Dallas,623,119,88,22,383,17,2173.84
2023-02-22,Houston,671,133,91,32,406,21,2764.09
2023-02-22,Los_Angeles,1674,476,371,179,641,38,4999.78
2023-02-22,New_York,2226,688,523,274,723,51,7108.93
2023-02-22,Philadelphia,783,174,125,35,441,18,2585.37
2023-02-22,Phoenix,529,92,65,12,354,7,857.37
2023-02-23,Atlanta,641,116,91,25,408,14,1832.6299999999999
2023-02-23,Chicago,1019,247,181,71,513,25,3515.81
2023-02-23,Dallas,810,242,140,18,397,25,3511.25
2023-02-23,Houston,647,134,93,25,387,18,2305.72
2023-02-23,Los_Angeles,1756,513,388,197,645,46,6005.82
2023-02-23,New_York,2297,730,526,286,737,68,8877.12
2023-02-23,Philadelphia,814,180,131,39,453,21,2604.38
2023-02-23,Phoenix,619,127,82,22,379,8,1026.42
2023-02-24,Atlanta,669,125,87,21,429,12,1723.81
2023-02-24,Chicago,1062,267,197,80,507,23,3023.21
2023-02-24,Dallas,700,135,100,28,430,14,1883.47
2023-02-24,Houston,879,242,147,36,443,22,3113.75
2023-02-24,Los_Angeles,1950,604,433,219,671,50,7125.11
2023-02-24,New_York,2407,801,565,286,729,58,7835.37
2023-02-24,Philadelphia,811,176,126,42,458,20,2676.31
2023-02-24,Phoenix,545,86,64,13,377,17,2338.32
2023-02-25,Atlanta,605,136,75,11,361,19,2553.13
2023-02-25,Chicago,841,189,138,48,462,17,2333.62
2023-02-25,Dallas,570,103,69,15,375,15,2043.23
2023-02-25,Houston,687,165,93,15,397,21,2835.3
2023-02-25,Los_Angeles,1480,431,312,138,583,36,4776.76
2023-02-25,New_York,1980,613,449,218,678,60,8272.5
2023-02-25,Philadelphia,695,132,110,31,416,10,1320.18
2023-02-25,Phoenix,496,74,47,6,361,12,1678.37
2023-02-26,Atlanta,494,77,49,9,347,17,2327.63
2023-02-26,Chicago,777,175,118,43,431,27,3710.64
2023-02-26,Dallas,670,169,97,9,373,21,2730.5
2023-02-26,Houston,560,105,62,12,373,10,1373.24
2023-02-26,Los_Angeles,1369,380,273,125,574,37,5308.86
2023-02-26,New_York,1927,620,419,206,647,49,6650.63
2023-02-26,Philadelphia,720,149,100,29,425,17,2295.52
2023-02-26,Phoenix,526,82,54,7,369,12,1675.76
2023-02-27,Atlanta,640,116,88,22,405,14,1697.46
2023-02-27,Chicago,986,229,177,72,494,32,4303.07
2023-02-27,Dallas,669,143,92,26,399,19,2673.02
2023-02-27,Houston,618,121,79,19,394,21,2857.96
