airing_id,date,timestamp,network,network_type,daypart,program,dma,duration_seconds,creative_id,impressions,reach_pct,frequency,cost,cpm,is_national,is_holiday
A000028,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,MLB Postseason,Houston,15,creative_A_brand,9747,0.2425,0.01,86.89,9.09,True,True
A000029,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,MLB Postseason,Phoenix,15,creative_A_brand,7714,0.2362,0.01,65.17,9.09,True,True
A000030,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,MLB Postseason,Philadelphia,15,creative_A_brand,10314,0.1895,0.01,97.75,9.09,True,True
A000031,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,MLB Postseason,Dallas,15,creative_A_brand,9475,0.1997,0.01,86.89,9.09,True,True
A000032,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,MLB Postseason,Atlanta,15,creative_A_brand,8224,0.2595,0.01,76.03,9.09,True,True
A000033,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,Law & Order,New_York,15,creative_A_brand,23829,0.2901,0.01,884.89,37.21,True,True
A000034,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,Law & Order,Los_Angeles,15,creative_A_brand,16331,0.2544,0.01,643.55,37.21,True,True
A000035,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,Law & Order,Chicago,15,creative_A_brand,10457,0.3531,0.01,402.22,37.21,True,True
A000036,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,Law & Order,Houston,15,creative_A_brand,8340,0.3023,0.01,321.78,37.21,True,True
A000037,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,Law & Order,Phoenix,15,creative_A_brand,6748,0.2836,0.01,241.33,37.21,True,True
A000038,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,Law & Order,Philadelphia,15,creative_A_brand,10645,0.3555,0.01,362.0,37.21,True,True
A000039,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,Law & Order,Dallas,15,creative_A_brand,8217,0.2997,0.01,321.78,37.21,True,True
A000040,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,Law & Order,Atlanta,15,creative_A_brand,7264,0.2742,0.01,281.55,37.21,True,True
A000041,2023-01-01,2023-01-01 17:30:00,ABC,broadcast,sports,Grey's Anatomy,Chicago,30,creative_B_product,161668,0.3207,0.1,10155.86,59.58,False,True
A000042,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,Monday Night Football,New_York,60,creative_C_testimonial,35262,0.343,0.01,1803.18,53.14,True,True
A000043,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,Monday Night Football,Los_Angeles,60,creative_C_testimonial,23819,0.2664,0.01,1311.4,53.14,True,True
A000044,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,Monday Night Football,Chicago,60,creative_C_testimonial,16075,0.3371,0.01,819.63,53.14,True,True
A000045,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,Monday Night Football,Houston,60,creative_C_testimonial,11965,0.2515,0.01,655.7,53.14,True,True
A000046,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,Monday Night Football,Phoenix,60,creative_C_testimonial,10069,0.2877,0.01,491.78,53.14,True,True
A000047,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,Monday Night Football,Philadelphia,60,creative_C_testimonial,13931,0.3405,0.01,737.67,53.14,True,True
A000048,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,Monday Night Football,Dallas,60,creative_C_testimonial,12773,0.3282,0.01,655.7,53.14,True,True
A000049,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,Monday Night Football,Atlanta,60,creative_C_testimonial,10168,0.305,0.01,573.74,53.14,True,True
A000050,2023-01-01,2023-01-01 15:45:00,ESPN,cable,sports,Monday Night Football,Philadelphia,30,creative_C_testimonial,102597,0.324,0.07,5526.02,51.48,False,True
A000051,2023-01-01,2023-01-01 01:00:00,Food_Network,cable,late_night,Diners Drive-Ins,Houston,15,creative_B_product,26119,0.0519,0.13,65.33,2.25,False,True
A000052,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,General Programming,New_York,30,creative_A_brand,9193,0.0915,0.01,97.61,10.21,True,True
A000053,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,General Programming,Los_Angeles,30,creative_A_brand,6965,0.0949,0.01,70.99,10.21,True,True
A000054,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,General Programming,Chicago,30,creative_A_brand,4128,0.0932,0.01,44.37,10.21,True,True
A000055,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,General Programming,Houston,30,creative_A_brand,3809,0.0895,0.01,35.49,10.21,True,True
A000056,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,General Programming,Phoenix,30,creative_A_brand,2819,0.0876,0.01,26.62,10.21,True,True
A000057,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,General Programming,Philadelphia,30,creative_A_brand,3793,0.0952,0.01,39.93,10.21,True,True
A000058,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,General Programming,Dallas,30,creative_A_brand,3594,0.1031,0.01,35.49,10.21,True,True
A000059,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,General Programming,Atlanta,30,creative_A_brand,2877,0.09,0.01,31.06,10.21,True,True
A000060,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,General Programming,New_York,30,creative_C_testimonial,5186,0.0459,0.01,36.17,6.74,True,True
A000061,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,General Programming,Los_Angeles,30,creative_C_testimonial,3960,0.0536,0.01,26.31,6.74,True,True
A000062,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,General Programming,Chicago,30,creative_C_testimonial,2232,0.0415,0.01,16.44,6.74,True,True
A000063,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,General Programming,Houston,30,creative_C_testimonial,1831,0.0408,0.01,13.15,6.74,True,True
A000064,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,General Programming,Phoenix,30,creative_C_testimonial,1459,0.0427,0.01,9.87,6.74,True,True
A000065,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,General Programming,Philadelphia,30,creative_C_testimonial,2149,0.0512,0.01,14.8,6.74,True,True
A000066,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,General Programming,Dallas,30,creative_C_testimonial,2119,0.0373,0.01,13.15,6.74,True,True
A000067,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,General Programming,Atlanta,30,creative_C_testimonial,1608,0.0481,0.01,11.51,6.74,True,True
A000068,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,The Voice,New_York,30,creative_B_product,26573,0.258,0.01,897.58,35.87,True,True
A000069,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,The Voice,Los_Angeles,30,creative_B_product,19701,0.226,0.01,652.79,35.87,True,True
A000070,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,The Voice,Chicago,30,creative_B_product,11377,0.2518,0.01,407.99,35.87,True,True
A000071,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,The Voice,Houston,30,creative_B_product,9371,0.2432,0.01,326.39,35.87,True,True
A000072,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,The Voice,Phoenix,30,creative_B_product,7227,0.2601,0.01,244.8,35.87,True,True
A000073,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,The Voice,Philadelphia,30,creative_B_product,9904,0.2138,0.01,367.19,35.87,True,True
A000074,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,The Voice,Dallas,30,creative_B_product,8360,0.232,0.01,326.39,35.87,True,True
A000075,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,The Voice,Atlanta,30,creative_B_product,7222,0.2219,0.01,285.59,35.87,True,True
A000076,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,New_York,30,creative_A_brand,30054,0.2659,0.01,821.57,28.81,True,True
A000077,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,Los_Angeles,30,creative_A_brand,21247,0.2502,0.01,597.51,28.81,True,True
A000078,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,Chicago,30,creative_A_brand,11799,0.3038,0.01,373.44,28.81,True,True
A000079,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,Houston,30,creative_A_brand,10453,0.3165,0.01,298.75,28.81,True,True
A000080,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,Phoenix,30,creative_A_brand,8128,0.3571,0.01,224.06,28.81,True,True
A000081,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,Philadelphia,30,creative_A_brand,11703,0.2788,0.01,336.1,28.81,True,True
A000082,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,Dallas,30,creative_A_brand,10981,0.2725,0.01,298.75,28.81,True,True
A000083,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,Atlanta,30,creative_A_brand,8962,0.2494,0.01,261.41,28.81,True,True
A000084,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,Station 19,New_York,30,creative_C_testimonial,9064,0.0958,0.01,84.75,9.75,True,True
A000085,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,Station 19,Los_Angeles,30,creative_C_testimonial,6042,0.1064,0.01,61.64,9.75,True,True
A000086,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,Station 19,Chicago,30,creative_C_testimonial,4138,0.092,0.01,38.52,9.75,True,True
A000087,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,Station 19,Houston,30,creative_C_testimonial,3230,0.0871,0.01,30.82,9.75,True,True
A000088,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,Station 19,Phoenix,30,creative_C_testimonial,2250,0.0848,0.01,23.11,9.75,True,True
A000089,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,Station 19,Philadelphia,30,creative_C_testimonial,3738,0.0725,0.01,34.67,9.75,True,True
A000090,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,Station 19,Dallas,30,creative_C_testimonial,2917,0.0737,0.01,30.82,9.75,True,True
A000091,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,Station 19,Atlanta,30,creative_C_testimonial,2511,0.1028,0.01,26.97,9.75,True,True
A000092,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,Chopped,New_York,30,creative_A_brand,4636,0.0368,0.01,22.54,4.99,True,True
A000093,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,Chopped,Los_Angeles,30,creative_A_brand,3200,0.0473,0.01,16.39,4.99,True,True
A000094,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,Chopped,Chicago,30,creative_A_brand,2053,0.0514,0.01,10.24,4.99,True,True
A000095,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,Chopped,Houston,30,creative_A_brand,1693,0.0389,0.01,8.2,4.99,True,True
A000096,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,Chopped,Phoenix,30,creative_A_brand,1125,0.0476,0.01,6.15,4.99,True,True
A000097,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,Chopped,Philadelphia,30,creative_A_brand,1671,0.0465,0.01,9.22,4.99,True,True
A000098,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,Chopped,Dallas,30,creative_A_brand,1786,0.0464,0.01,8.2,4.99,True,True
A000099,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,Chopped,Atlanta,30,creative_A_brand,1404,0.0476,0.01,7.17,4.99,True,True
A000100,2023-01-02,2023-01-02 14:00:00,NBC,broadcast,sports,The Voice,Houston,60,creative_A_brand,81452,0.2804,0.07,7890.47,99.16,False,True
A000101,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,New_York,30,creative_A_brand,32238,0.2902,0.01,1258.89,35.45,True,True
A000102,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,Los_Angeles,30,creative_A_brand,28241,0.3058,0.01,915.56,35.45,True,True
A000103,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,Chicago,30,creative_A_brand,15894,0.3082,0.01,572.22,35.45,True,True
A000104,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,Houston,30,creative_A_brand,13109,0.3278,0.01,457.78,35.45,True,True
A000105,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,Phoenix,30,creative_A_brand,8963,0.27,0.01,343.33,35.45,True,True
A000106,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,Philadelphia,30,creative_A_brand,14761,0.3441,0.01,515.0,35.45,True,True
A000107,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,Dallas,30,creative_A_brand,13073,0.2686,0.01,457.78,35.45,True,True
A000108,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,NBA Basketball,Atlanta,30,creative_A_brand,11705,0.3288,0.01,400.56,35.45,True,True
A000109,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,NCIS,New_York,30,creative_A_brand,20471,0.354,0.01,1618.71,76.22,True,True
A000110,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,NCIS,Los_Angeles,30,creative_A_brand,16838,0.3088,0.01,1177.25,76.22,True,True
A000111,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,NCIS,Chicago,30,creative_A_brand,9908,0.2938,0.01,735.78,76.22,True,True
A000112,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,NCIS,Houston,30,creative_A_brand,7403,0.2794,0.01,588.62,76.22,True,True
A000113,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,NCIS,Phoenix,30,creative_A_brand,5992,0.3303,0.01,441.47,76.22,True,True
A000114,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,NCIS,Philadelphia,30,creative_A_brand,9195,0.3348,0.01,662.2,76.22,True,True
A000115,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,NCIS,Dallas,30,creative_A_brand,7091,0.2993,0.01,588.62,76.22,True,True
A000116,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,NCIS,Atlanta,30,creative_A_brand,6159,0.3059,0.01,515.05,76.22,True,True
A000117,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,Law & Order,New_York,60,creative_C_testimonial,16474,0.1865,0.01,912.92,57.64,True,True
A000118,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,Law & Order,Los_Angeles,60,creative_C_testimonial,12260,0.2436,0.01,663.94,57.64,True,True
A000119,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,Law & Order,Chicago,60,creative_C_testimonial,6596,0.1876,0.01,414.96,57.64,True,True
A000120,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,Law & Order,Houston,60,creative_C_testimonial,6319,0.2137,0.01,331.97,57.64,True,True
A000121,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,Law & Order,Phoenix,60,creative_C_testimonial,4207,0.2532,0.01,248.98,57.64,True,True
A000122,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,Law & Order,Philadelphia,60,creative_C_testimonial,7058,0.2687,0.01,373.47,57.64,True,True
A000123,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,Law & Order,Dallas,60,creative_C_testimonial,6051,0.2139,0.01,331.97,57.64,True,True
A000124,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,Law & Order,Atlanta,60,creative_C_testimonial,4619,0.2499,0.01,290.47,57.64,True,True
A000125,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,House Hunters,New_York,30,creative_A_brand,8017,0.1272,0.01,73.36,8.45,True,True
A000126,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,House Hunters,Los_Angeles,30,creative_A_brand,6624,0.124,0.01,53.35,8.45,True,True
A000127,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,House Hunters,Chicago,30,creative_A_brand,4310,0.114,0.01,33.35,8.45,True,True
A000128,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,House Hunters,Houston,30,creative_A_brand,3021,0.1377,0.01,26.68,8.45,True,True
A000129,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,House Hunters,Phoenix,30,creative_A_brand,2236,0.1422,0.01,20.01,8.45,True,True
A000130,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,House Hunters,Philadelphia,30,creative_A_brand,3204,0.1426,0.0,30.01,8.45,True,True
A000131,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,House Hunters,Dallas,30,creative_A_brand,2868,0.1388,0.01,26.68,8.45,True,True
A000132,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,House Hunters,Atlanta,30,creative_A_brand,2777,0.1437,0.01,23.34,8.45,True,True
A000133,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,Law & Order,New_York,15,creative_A_brand,23951,0.1841,0.01,471.73,21.28,True,True
A000134,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,Law & Order,Los_Angeles,15,creative_A_brand,15418,0.2655,0.01,343.07,21.28,True,True
A000135,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,Law & Order,Chicago,15,creative_A_brand,10864,0.221,0.01,214.42,21.28,True,True
A000136,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,Law & Order,Houston,15,creative_A_brand,8256,0.205,0.01,171.54,21.28,True,True
A000137,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,Law & Order,Phoenix,15,creative_A_brand,5669,0.2217,0.01,128.65,21.28,True,True
A000138,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,Law & Order,Philadelphia,15,creative_A_brand,8804,0.2325,0.01,192.98,21.28,True,True
A000139,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,Law & Order,Dallas,15,creative_A_brand,7381,0.2677,0.01,171.54,21.28,True,True
A000140,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,Law & Order,Atlanta,15,creative_A_brand,7740,0.2428,0.01,150.09,21.28,True,True
A000141,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,General Programming,New_York,30,creative_A_brand,20374,0.2627,0.01,485.72,24.23,True,True
A000142,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,General Programming,Los_Angeles,30,creative_A_brand,13364,0.2589,0.01,353.25,24.23,True,True
A000143,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,General Programming,Chicago,30,creative_A_brand,9207,0.1948,0.01,220.78,24.23,True,True
A000144,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,General Programming,Houston,30,creative_A_brand,7161,0.25,0.01,176.63,24.23,True,True
A000145,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,General Programming,Phoenix,30,creative_A_brand,5446,0.2687,0.01,132.47,24.23,True,True
A000146,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,General Programming,Philadelphia,30,creative_A_brand,7999,0.2475,0.01,198.7,24.23,True,True
A000147,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,General Programming,Dallas,30,creative_A_brand,7134,0.2546,0.01,176.63,24.23,True,True
A000148,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,General Programming,Atlanta,30,creative_A_brand,6467,0.1857,0.01,154.55,24.23,True,True
A000149,2023-01-03,2023-01-03 20:00:00,HGTV,cable,primetime,Fixer Upper,New_York,60,creative_A_brand,107204,0.2006,0.05,2584.73,24.62,False,False
A000150,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,CNN Tonight,New_York,30,creative_C_testimonial,22027,0.2589,0.01,502.23,23.08,True,False
A000151,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,CNN Tonight,Los_Angeles,30,creative_C_testimonial,15521,0.1921,0.01,365.26,23.08,True,False
A000152,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,CNN Tonight,Chicago,30,creative_C_testimonial,8959,0.248,0.01,228.29,23.08,True,False
A000153,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,CNN Tonight,Houston,30,creative_C_testimonial,8103,0.2434,0.01,182.63,23.08,True,False
A000154,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,CNN Tonight,Phoenix,30,creative_C_testimonial,5594,0.1923,0.01,136.97,23.08,True,False
A000155,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,CNN Tonight,Philadelphia,30,creative_C_testimonial,8038,0.2116,0.01,205.46,23.08,True,False
A000156,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,CNN Tonight,Dallas,30,creative_C_testimonial,8055,0.2153,0.01,182.63,23.08,True,False
A000157,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,CNN Tonight,Atlanta,30,creative_C_testimonial,6837,0.2614,0.01,159.8,23.08,True,False
A000158,2023-01-03,2023-01-03 22:45:00,CBS,broadcast,primetime,NCIS,New_York,30,creative_B_product,26464,0.2032,0.01,873.16,32.94,True,False
A000159,2023-01-03,2023-01-03 22:45:00,CBS,broadcast,primetime,NCIS,Los_Angeles,30,creative_B_product,19119,0.2682,0.01,635.03,32.94,True,False
A000160,2023-01-03,2023-01-03 22:45:00,CBS,broadcast,primetime,NCIS,Chicago,30,creative_B_product,12030,0.2096,0.01,396.89,32.94,True,False
A000161,2023-01-03,2023-01-03 22:45:00,CBS,broadcast,primetime,NCIS,Houston,30,creative_B_product,9895,0.2016,0.01,317.51,32.94,True,False
A000162,2023-01-03,2023-01-03 22:45:00,CBS,broadcast,primetime,NCIS,Phoenix,30,creative_B_product,6615,0.1916,0.01,238.13,32.94,True,False
A000163,2023-01-03,2023-01-03 22:45:00,CBS,broadcast,primetime,NCIS,Philadelphia,30,creative_B_product,10036,0.1937,0.01,357.2,32.94,True,False
A000164,2023-01-03,2023-01-03 22:45:00,CBS,broadcast,primetime,NCIS,Dallas,30,creative_B_product,8942,0.2377,0.01,317.51,32.94,True,False
A000165,2023-01-03,2023-01-03 22:45:00,CBS,broadcast,primetime,NCIS,Atlanta,30,creative_B_product,7897,0.2111,0.01,277.82,32.94,True,False
A000166,2023-01-03,2023-01-03 21:00:00,HGTV,cable,primetime,House Hunters,New_York,15,creative_A_brand,15323,0.2281,0.01,125.35,8.26,True,False
