airing_id,date,timestamp,network,network_type,daypart,dma,creative_id,duration_seconds,impressions,cost,actual_sessions,baseline_sessions,incremental_sessions,incremental_conversions,incremental_revenue,roas,window_records
A000083,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,Atlanta,creative_A_brand,30,8962,261.41,28.0,13.1,14.9,1,148.33,0.567,4
A000084,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,New_York,creative_C_testimonial,30,9064,84.75,11.0,13.9,0.0,0,0.0,0.0,4
A000085,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,Los_Angeles,creative_C_testimonial,30,6042,61.64,11.0,10.5,0.5,0,0.0,0.0,4
A000086,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,Chicago,creative_C_testimonial,30,4138,38.52,7.0,5.9,1.1,0,0.0,0.0,4
A000087,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,Houston,creative_C_testimonial,30,3230,30.82,3.0,4.1,0.0,0,0.0,0.0,4
A000088,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,Phoenix,creative_C_testimonial,30,2250,23.11,4.0,3.6,0.4,0,0.0,0.0,4
A000089,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,Philadelphia,creative_C_testimonial,30,3738,34.67,6.0,4.9,1.1,0,0.0,0.0,4
A000090,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,Dallas,creative_C_testimonial,30,2917,30.82,2.0,3.8,0.0,0,0.0,0.0,4
A000091,2023-01-02,2023-01-02 15:00:00,ABC,broadcast,daytime,Atlanta,creative_C_testimonial,30,2511,26.97,3.0,3.5,0.0,0,0.0,0.0,4
A000092,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,New_York,creative_A_brand,30,4636,22.54,20.0,17.5,2.5,0,0.0,0.0,4
A000093,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,Los_Angeles,creative_A_brand,30,3200,16.39,9.0,12.8,0.0,0,0.0,0.0,4
A000094,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,Chicago,creative_A_brand,30,2053,10.24,5.0,7.0,0.0,0,0.0,0.0,4
A000095,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,Houston,creative_A_brand,30,1693,8.2,5.0,5.3,0.0,0,0.0,0.0,4
A000096,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,Phoenix,creative_A_brand,30,1125,6.15,1.0,4.7,0.0,0,0.0,0.0,4
A000097,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,Philadelphia,creative_A_brand,30,1671,9.22,7.0,6.0,1.0,0,0.0,0.0,4
A000098,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,Dallas,creative_A_brand,30,1786,8.2,9.0,4.8,4.2,0,0.0,0.0,4
A000099,2023-01-02,2023-01-02 06:45:00,Food_Network,cable,early_morning,Atlanta,creative_A_brand,30,1404,7.17,2.0,4.3,0.0,0,0.0,0.0,4
A000100,2023-01-02,2023-01-02 14:00:00,NBC,broadcast,sports,Houston,creative_A_brand,60,81452,7890.47,2.0,4.7,0.0,0,0.0,0.0,4
A000101,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,New_York,creative_A_brand,30,32238,1258.89,99.0,50.6,48.4,1,145.65,0.116,4
A000102,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,Los_Angeles,creative_A_brand,30,28241,915.56,91.0,36.4,54.6,0,0.0,0.0,4
A000103,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,Chicago,creative_A_brand,30,15894,572.22,45.0,22.3,22.7,0,0.0,0.0,4
A000104,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,Houston,creative_A_brand,30,13109,457.78,18.0,15.2,2.8,0,0.0,0.0,4
A000105,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,Phoenix,creative_A_brand,30,8963,343.33,16.0,12.3,3.7,0,0.0,0.0,4
A000106,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,Philadelphia,creative_A_brand,30,14761,515.0,31.0,19.0,12.0,0,0.0,0.0,4
A000107,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,Dallas,creative_A_brand,30,13073,457.78,28.0,14.6,13.4,1,174.45,0.381,4
A000108,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,Atlanta,creative_A_brand,30,11705,400.56,28.0,13.1,14.9,0,0.0,0.0,4
A000109,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,New_York,creative_A_brand,30,20471,1618.71,16.0,14.2,1.8,0,0.0,0.0,4
A000110,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,Los_Angeles,creative_A_brand,30,16838,1177.25,12.0,10.7,1.3,0,0.0,0.0,4
A000111,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,Chicago,creative_A_brand,30,9908,735.78,6.0,6.1,0.0,0,0.0,0.0,4
A000112,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,Houston,creative_A_brand,30,7403,588.62,4.0,4.3,0.0,0,0.0,0.0,4
A000113,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,Phoenix,creative_A_brand,30,5992,441.47,0.0,3.7,0.0,0,0.0,0.0,4
A000114,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,Philadelphia,creative_A_brand,30,9195,662.2,6.0,5.2,0.8,0,0.0,0.0,4
A000115,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,Dallas,creative_A_brand,30,7091,588.62,11.0,4.0,7.0,0,0.0,0.0,4
A000116,2023-01-02,2023-01-02 15:45:00,CBS,broadcast,sports,Atlanta,creative_A_brand,30,6159,515.05,3.0,3.7,0.0,0,0.0,0.0,4
A000117,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,New_York,creative_C_testimonial,60,16474,912.92,59.0,34.7,24.3,0,0.0,0.0,4
A000118,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,Los_Angeles,creative_C_testimonial,60,12260,663.94,33.0,27.3,5.7,0,0.0,0.0,4
A000119,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,Chicago,creative_C_testimonial,60,6596,414.96,20.0,16.1,3.9,1,168.49,0.406,4
A000120,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,Houston,creative_C_testimonial,60,6319,331.97,14.0,11.4,2.6,0,0.0,0.0,4
A000121,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,Phoenix,creative_C_testimonial,60,4207,248.98,12.0,9.2,2.8,0,0.0,0.0,4
A000122,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,Philadelphia,creative_C_testimonial,60,7058,373.47,17.0,12.9,4.1,1,131.19,0.351,4
A000123,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,Dallas,creative_C_testimonial,60,6051,331.97,14.0,11.2,2.8,0,0.0,0.0,4
A000124,2023-01-02,2023-01-02 22:15:00,NBC,broadcast,primetime,Atlanta,creative_C_testimonial,60,4619,290.47,11.0,8.8,2.2,0,0.0,0.0,4
A000125,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,New_York,creative_A_brand,30,8017,73.36,21.0,15.1,5.9,0,0.0,0.0,4
A000126,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,Los_Angeles,creative_A_brand,30,6624,53.35,11.0,11.6,0.0,0,0.0,0.0,4
A000127,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,Chicago,creative_A_brand,30,4310,33.35,5.0,6.6,0.0,0,0.0,0.0,4
A000128,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,Houston,creative_A_brand,30,3021,26.68,4.0,5.1,0.0,0,0.0,0.0,4
A000129,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,Phoenix,creative_A_brand,30,2236,20.01,4.0,4.2,0.0,0,0.0,0.0,4
A000130,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,Philadelphia,creative_A_brand,30,3204,30.01,6.0,6.1,0.0,0,0.0,0.0,4
A000131,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,Dallas,creative_A_brand,30,2868,26.68,7.0,4.4,2.6,0,0.0,0.0,4
A000132,2023-01-02,2023-01-02 16:30:00,HGTV,cable,early_fringe,Atlanta,creative_A_brand,30,2777,23.34,5.0,4.2,0.8,0,0.0,0.0,4
A000133,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,New_York,creative_A_brand,15,23951,471.73,70.0,53.2,16.8,0,0.0,0.0,4
A000134,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,Los_Angeles,creative_A_brand,15,15418,343.07,38.0,40.1,0.0,0,0.0,0.0,4
A000135,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,Chicago,creative_A_brand,15,10864,214.42,32.0,23.9,8.1,0,0.0,0.0,4
A000136,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,Houston,creative_A_brand,15,8256,171.54,23.0,17.6,5.4,0,0.0,0.0,4
A000137,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,Phoenix,creative_A_brand,15,5669,128.65,13.0,14.1,0.0,0,0.0,0.0,4
A000138,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,Philadelphia,creative_A_brand,15,8804,192.98,19.0,21.0,0.0,0,0.0,0.0,4
A000139,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,Dallas,creative_A_brand,15,7381,171.54,19.0,16.1,2.9,0,0.0,0.0,4
A000140,2023-01-02,2023-01-02 20:15:00,NBC,broadcast,primetime,Atlanta,creative_A_brand,15,7740,150.09,18.0,14.8,3.2,1,120.42,0.802,4
A000141,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,New_York,creative_A_brand,30,20374,485.72,67.0,52.6,14.4,1,145.04,0.299,4
A000142,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,Los_Angeles,creative_A_brand,30,13364,353.25,33.0,39.1,0.0,0,0.0,0.0,4
A000143,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,Chicago,creative_A_brand,30,9207,220.78,22.0,23.5,0.0,0,0.0,0.0,4
A000144,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,Houston,creative_A_brand,30,7161,176.63,12.0,17.0,0.0,0,0.0,0.0,4
A000145,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,Phoenix,creative_A_brand,30,5446,132.47,15.0,13.7,1.3,0,0.0,0.0,4
A000146,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,Philadelphia,creative_A_brand,30,7999,198.7,24.0,20.5,3.5,0,0.0,0.0,4
A000147,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,Dallas,creative_A_brand,30,7134,176.63,16.0,15.7,0.3,0,0.0,0.0,4
A000148,2023-01-02,2023-01-02 20:45:00,ESPN,cable,primetime,Atlanta,creative_A_brand,30,6467,154.55,17.0,14.4,2.6,0,0.0,0.0,4
A000149,2023-01-03,2023-01-03 20:00:00,HGTV,cable,primetime,New_York,creative_A_brand,60,107204,2584.73,142.0,71.8,70.2,5,696.96,0.27,4
A000150,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,New_York,creative_C_testimonial,30,22027,502.23,61.0,45.1,15.9,0,0.0,0.0,4
A000151,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,Los_Angeles,creative_C_testimonial,30,15521,365.26,46.0,35.5,10.5,1,141.82,0.388,4
A000152,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,Chicago,creative_C_testimonial,30,8959,228.29,29.0,20.6,8.4,1,177.75,0.779,4
A000153,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,Houston,creative_C_testimonial,30,8103,182.63,28.0,14.0,14.0,0,0.0,0.0,4
A000154,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,Phoenix,creative_C_testimonial,30,5594,136.97,25.0,12.0,13.0,1,138.05,1.008,4
A000155,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,Philadelphia,creative_C_testimonial,30,8038,205.46,18.0,16.8,1.2,0,0.0,0.0,4
A000156,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,Dallas,creative_C_testimonial,30,8055,182.63,22.0,13.7,8.3,0,0.0,0.0,4
A000157,2023-01-03,2023-01-03 22:15:00,CNN,cable,primetime,Atlanta,creative_C_testimonial,30,6837,159.8,24.0,12.3,11.7,0,0.0,0.0,4
A000158,2023-01-03,2023-01-03 22:45:00,CBS,broadcast,primetime,New_York,creative_B_product,30,26464,873.16,42.0,41.0,1.0,0,0.0,0.0,4
A000159,2023-01-03,2023-01-03 22:45:00,CBS,broadcast,primetime,Los_Angeles,creative_B_product,30,19119,635.03,20.0,32.3,0.0,0,0.0,0.0,4
A000160,2023-01-03,2023-01-03 22:45:00,CBS,broadcast,primetime,Chicago,creative_B_product,30,12030,396.89,29.0,18.6,10.4,0,0.0,0.0,4
A000161,2023-01-03,2023-01-03 22:45:00,CBS,broadcast,primetime,Houston,creative_B_product,30,9895,317.51,26.0,12.6,13.4,0,0.0,0.0,4
A000162,2023-01-03,2023-01-03 22:45:00,CBS,broadcast,primetime,Phoenix,creative_B_product,30,6615,238.13,13.0,10.9,2.1,1,134.37,0.564,4
A000163,2023-01-03,2023-01-03 22:45:00,CBS,broadcast,primetime,Philadelphia,creative_B_product,30,10036,357.2,28.0,15.4,12.6,0,0.0,0.0,4
A000164,2023-01-03,2023-01-03 22:45:00,CBS,broadcast,primetime,Dallas,creative_B_product,30,8942,317.51,14.0,12.4,1.6,0,0.0,0.0,4
